id,uid,payload,qrFile,locationId,productId
"3c48d048-4939-405b-a178-d23071fb05c3","DB1FD71AA0D24E3E","http://localhost:3000/r?uid=DB1FD71AA0D24E3E","qr_3c48d048-4939-405b-a178-d23071fb05c3.png","710dbefee1726a830e5e5f8e055d6050",""
"c7320a26-6726-412c-9382-501952dca9c1","7DE7DC92EC4443CE","http://localhost:3000/r?uid=7DE7DC92EC4443CE","qr_c7320a26-6726-412c-9382-501952dca9c1.png","710dbefee1726a830e5e5f8e055d6050",""
"8fe8e3f1-7a2e-459c-8ed0-781105f763c8","AAFA48EE63A2458D","http://localhost:3000/r?uid=AAFA48EE63A2458D","qr_8fe8e3f1-7a2e-459c-8ed0-781105f763c8.png","710dbefee1726a830e5e5f8e055d6050",""
"2cc01dfc-0d0a-4b45-9970-8f68ea0d896b","F96994906306423A","http://localhost:3000/r?uid=F96994906306423A","qr_2cc01dfc-0d0a-4b45-9970-8f68ea0d896b.png","710dbefee1726a830e5e5f8e055d6050",""
"1f884812-825c-4705-8a77-92bbdfcfb8b2","E5FFA3A9441941DD","http://localhost:3000/r?uid=E5FFA3A9441941DD","qr_1f884812-825c-4705-8a77-92bbdfcfb8b2.png","710dbefee1726a830e5e5f8e055d6050",""
"89e1022c-2f28-41b5-8ff6-23d9a7e1b842","08BDB72DB26D42A1","http://localhost:3000/r?uid=08BDB72DB26D42A1","qr_89e1022c-2f28-41b5-8ff6-23d9a7e1b842.png","710dbefee1726a830e5e5f8e055d6050",""
"21032670-70d4-4192-b679-389a95089849","E481DC0941EC4842","http://localhost:3000/r?uid=E481DC0941EC4842","qr_21032670-70d4-4192-b679-389a95089849.png","710dbefee1726a830e5e5f8e055d6050",""
"342e9f04-8d9b-4465-a352-0fdf4811d580","15B8D042FC854990","http://localhost:3000/r?uid=15B8D042FC854990","qr_342e9f04-8d9b-4465-a352-0fdf4811d580.png","710dbefee1726a830e5e5f8e055d6050",""
"567169d2-9213-4ddd-bd7a-61972e0e73f1","00F5491EA5FF4E3F","http://localhost:3000/r?uid=00F5491EA5FF4E3F","qr_567169d2-9213-4ddd-bd7a-61972e0e73f1.png","710dbefee1726a830e5e5f8e055d6050",""
"7d16d92b-8ed9-43b6-b1f0-be1ceeac623e","358C3D14333C4698","http://localhost:3000/r?uid=358C3D14333C4698","qr_7d16d92b-8ed9-43b6-b1f0-be1ceeac623e.png","710dbefee1726a830e5e5f8e055d6050",""
"d68b4f52-e75d-40fb-b1c2-adef054ed7d9","ECBB96D246964729","http://localhost:3000/r?uid=ECBB96D246964729","qr_d68b4f52-e75d-40fb-b1c2-adef054ed7d9.png","710dbefee1726a830e5e5f8e055d6050",""
"fbc39173-c1d4-48c5-b31b-43c29f68adba","3CAD585FABED48D3","http://localhost:3000/r?uid=3CAD585FABED48D3","qr_fbc39173-c1d4-48c5-b31b-43c29f68adba.png","710dbefee1726a830e5e5f8e055d6050",""
